responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
1667,hover_association,2,2,int,,,900,1,9, minutes ,752,119,,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.06666564941406,748.683349609375,140.06666564941406,816.7333450317383,1,9,hover,133,133,0.8716628123553372,0.34833335876464844,19,,,,,,,,,,,,,,,EmTest5,EmTest5
1709,raw_position_sample,2,2,int,,,900,1,10, early. ,844,110,114716,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,816.7333374023438,130.06666564941406,864.4333343505859,1,10,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
1750,hover_association,2,2,int,,,900,1,10, early. ,818,113,,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.06666564941406,816.7333450317383,140.06666564941406,864.4333419799805,1,10,hover,83,83,0.9489865380364528,0.24833335876464843,19,,,,,,,,,,,,,,,EmTest5,EmTest5
1760,raw_position_sample,2,2,int,,,900,1,11, Commuters ,874,110,114767,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,864.433349609375,130.06666564941406,962.4833526611328,1,11,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
1810,raw_position_sample,2,2,int,,,900,1,11, Commuters ,907,110,114817,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,864.433349609375,130.06666564941406,962.4833526611328,1,11,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
1860,raw_position_sample,2,2,int,,,900,1,11, Commuters ,932,113,114867,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,864.433349609375,130.06666564941406,962.4833526611328,1,11,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
1910,raw_position_sample,2,2,int,,,900,1,11, Commuters ,954,114,114918,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,864.433349609375,130.06666564941406,962.4833526611328,1,11,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
1934,hover_association,2,2,int,,,900,1,11, Commuters ,874,110,,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.06666564941406,864.4333419799805,140.06666564941406,962.4833450317383,1,11,hover,184,184,0.9848715452772066,0.34833335876464844,19,,,,,,,,,,,,,,,EmTest5,EmTest5
1968,raw_position_sample,2,2,int,,,900,1,12, stepped ,985,116,114976,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,962.4833374023438,130.06666564941406,1031.566665649414,1,12,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
2019,raw_position_sample,2,2,int,,,900,1,12, stepped ,997,117,115027,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,962.4833374023438,130.06666564941406,1031.566665649414,1,12,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
2070,raw_position_sample,2,2,int,,,900,1,12, stepped ,1001,118,115078,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,962.4833374023438,130.06666564941406,1031.566665649414,1,12,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
2120,raw_position_sample,2,2,int,,,900,1,12, stepped ,1002,118,115128,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,962.4833374023438,130.06666564941406,1031.566665649414,1,12,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
2171,raw_position_sample,2,2,int,,,900,1,12, stepped ,1002,118,115179,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,962.4833374023438,130.06666564941406,1031.566665649414,1,12,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
