responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
3197,hover_association,2,1,ele,15,5,30,31,9, oxytocin ,836,126,,EmTest1,EmTest1,100.06666564941406,766.6833572387695,140.06666564941406,837.7333450317383,1,9,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,18,18,0.9756038658755433,0.6483333587646485,83,,,,,,,,,,,,,,,EmTest1,EmTest1
3212,hover_association,2,1,ele,15,5,30,31,8, that ,765,132,,EmTest1,EmTest1,100.06666564941406,731.6500244140625,140.06666564941406,766.6833572387695,1,8,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,16,16,0.9519498402509294,0.7983333587646484,83,,,,,,,,,,,,,,,EmTest1,EmTest1
3217,raw_position_sample,2,1,ele,15,5,30,31,7, find ,714,136,1798823,EmTest1,EmTest1,110.06666564941406,697.61669921875,130.06666564941406,731.6500244140625,1,7,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
3230,hover_association,2,1,ele,15,5,30,31,7, find ,714,136,,EmTest1,EmTest1,100.06666564941406,697.6166687011719,140.06666564941406,731.6500244140625,1,7,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,16,16,0.4813904170085321,0.8983333587646485,83,,,,,,,,,,,,,,,EmTest1,EmTest1
3263,hover_association,2,1,ele,15,5,30,31,5, surprised ,663,137,,EmTest1,EmTest1,100.06666564941406,598.533332824707,140.06666564941406,677.599983215332,1,5,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,34,34,0.005902199890692497,0.9483333587646484,83,,,,,,,,,,,,,,,EmTest1,EmTest1
3267,raw_position_sample,2,1,ele,15,5,30,31,4, were ,565,138,1798874,EmTest1,EmTest1,110.06666564941406,554.5,130.06666564941406,598.5333404541016,1,4,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
3280,hover_association,2,1,ele,15,5,30,31,4, were ,565,138,,EmTest1,EmTest1,100.06666564941406,554.5000076293945,140.06666564941406,598.533332824707,1,4,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,18,18,0.23845558617324747,0.9483333587646484,83,,,,,,,,,,,,,,,EmTest1,EmTest1
3318,raw_position_sample,2,1,ele,15,5,30,31,3, scientists ,480,138,1798925,EmTest1,EmTest1,110.06666564941406,475.4666748046875,130.06666564941406,554.5000152587891,1,3,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
3330,hover_association,2,1,ele,15,5,30,31,3, scientists ,531,138,,EmTest1,EmTest1,100.06666564941406,475.4666748046875,140.06666564941406,554.5000076293945,1,3,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,49,49,0.057359661212405724,0.9483333587646484,83,,,,,,,,,,,,,,,EmTest1,EmTest1
3363,hover_association,2,1,ele,15,5,30,31,2, the ,466,138,,EmTest1,EmTest1,100.06666564941406,445.433349609375,140.06666564941406,475.4666748046875,1,2,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,33,33,0.1520527734084452,0.9483333587646484,83,,,,,,,,,,,,,,,EmTest1,EmTest1
3367,raw_position_sample,2,1,ele,15,5,30,31,1," But, ",438,139,1798974,EmTest1,EmTest1,110.06666564941406,408.41668701171875,130.06666564941406,445.433349609375,1,1,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
3380,hover_association,2,1,ele,15,5,30,31,1," But, ",438,139,,EmTest1,EmTest1,100.06666564941406,405.33196512858075,140.06666564941406,445.433349609375,1,1,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,17,17,0.8146360853716895,0.9733333587646484,83,,,,,,,,,,,,,,,EmTest1,EmTest1
3397,hover_association,2,1,ele,15,5,30,31,16, social ,423,142,,EmTest1,EmTest1,140.06666564941406,408.41668701171875,180.06666564941406,459.45001220703125,2,1,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,17,17,0.28576058746845584,0.048333358764648435,83,,,,,,,,,,,,,,,EmTest1,EmTest1
3418,raw_position_sample,2,1,ele,15,5,30,31,-1,999,399,150,1799025,EmTest1,EmTest1,,,,,,,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
3469,raw_position_sample,2,1,ele,15,5,30,31,-1,999,394,153,1799075,EmTest1,EmTest1,,,,,,,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
3519,raw_position_sample,2,1,ele,15,5,30,31,-1,999,394,154,1799126,EmTest1,EmTest1,,,,,,,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
3569,raw_position_sample,2,1,ele,15,5,30,31,-1,999,394,155,1799176,EmTest1,EmTest1,,,,,,,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
3620,raw_position_sample,2,1,ele,15,5,30,31,-1,999,402,160,1799227,EmTest1,EmTest1,,,,,,,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
3664,hover_association,2,1,ele,15,5,30,31,16, social ,417,165,,EmTest1,EmTest1,140.06666564941406,408.41668701171875,180.06666564941406,459.45001220703125,2,1,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,34,34,0.6776613684474903,0.7483333587646485,83,,,,,,,,,,,,,,,EmTest1,EmTest1
3672,raw_position_sample,2,1,ele,15,5,30,31,17, recognition ,462,173,1799278,EmTest1,EmTest1,150.06666564941406,459.45001220703125,170.06666564941406,552.5500183105469,2,2,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
3722,raw_position_sample,2,1,ele,15,5,30,31,17, recognition ,510,174,1799328,EmTest1,EmTest1,150.06666564941406,459.45001220703125,170.06666564941406,552.5500183105469,2,2,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
