responseTime,ProlificId,ProlificID,SubjectId,SubjectID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,onestop_block_level,onestop_paragraph_index,device,hand,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key
29217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,64, traditional ,1161,299,1208119,283.265625,1137.734375,303.265625,1220.796875,5,12,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
29233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,9,4,11,12,64, traditional ,1202,300,,273.265625,1137.734375,313.265625,1220.796875,5,12,hover,33.40000009536743,33.40000009536743,0.28009781790820165,0.643359375,71,,,intermediate,4,,,,,,,,,,,,,,
29250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,9,4,11,12,62, technology ,1098,298,,273.265625,1025.640625,313.265625,1117.71875,5,10,hover,16.59999990463257,16.59999990463257,0.7858476158153742,0.618359375,71,,,intermediate,4,,,,,,,,,,,,,,
29267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,9,4,11,12,61, the ,1022,298,,273.265625,995.609375,313.265625,1025.640625,5,9,hover,16.59999990463257,16.59999990463257,0.8787721123829344,0.618359375,71,,,intermediate,4,,,,,,,,,,,,,,
29267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,60, licensing ,942,298,1208168.9000000954,283.265625,920.5625,303.265625,995.609375,5,8,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
29283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,9,4,11,12,60, licensing ,942,298,,273.265625,920.5625,313.265625,995.609375,5,8,hover,16.59999990463257,16.59999990463257,0.2856547990839059,0.618359375,71,,,intermediate,4,,,,,,,,,,,,,,
29300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,9,4,11,12,58, interested ,853,299,,273.265625,817.484375,313.265625,901.546875,5,6,hover,16.800000190734863,16.800000190734863,0.4224907063197026,0.643359375,71,,,intermediate,4,,,,,,,,,,,,,,
29317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,9,4,11,12,55, says ,780,300,,273.265625,743.453125,313.265625,785.46875,5,3,hover,16.59999990463257,16.59999990463257,0.8698400892525102,0.668359375,71,,,intermediate,4,,,,,,,,,,,,,,
29318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,54, Google ,717,302,1208219.1000003815,283.265625,680.40625,303.265625,743.453125,5,2,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
29333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,9,4,11,12,54, Google ,717,302,,273.265625,680.40625,313.265625,743.453125,5,2,hover,16.700000286102295,16.700000286102295,0.5804213135068154,0.718359375,71,,,intermediate,4,,,,,,,,,,,,,,
29366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,53, roads. ,644,309,1208268,283.265625,625.375,303.265625,680.40625,5,1,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
29383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,9,4,11,12,53, roads. ,674,306,,273.265625,625.375,313.265625,680.40625,5,1,hover,49.89999961853027,49.89999961853027,0.029528676888131742,0.943359375,71,,,intermediate,4,,,,,,,,,,,,,,
29417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,-1,999,609,315,1208318.4000000954,,,,,,,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
29454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,-1,999,604,318,1208356,,,,,,,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
29503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,-1,999,598,323,1208404.9000000954,,,,,,,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
29553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,-1,999,598,328,1208454.9000000954,,,,,,,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
29617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,66, manufacturers ,629,344,1208518.8000001907,323.265625,625.375,343.265625,745.4375,6,1,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
29667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,66, manufacturers ,673,351,1208568.700000286,323.265625,625.375,343.265625,745.4375,6,1,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
29716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,66, manufacturers ,684,351,1208617.9000000954,323.265625,625.375,343.265625,745.4375,6,1,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
29765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,66, manufacturers ,686,349,1208666.4000000954,323.265625,625.375,343.265625,745.4375,6,1,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
29816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,66, manufacturers ,690,347,1208717.8000001907,323.265625,625.375,343.265625,745.4375,6,1,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
29867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,66, manufacturers ,710,343,1208768.700000286,323.265625,625.375,343.265625,745.4375,6,1,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
29917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,66, manufacturers ,742,340,1208818.8000001907,323.265625,625.375,343.265625,745.4375,6,1,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
29933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,9,4,11,12,66, manufacturers ,629,344,,313.265625,625.375,353.265625,745.4375,6,1,hover,316.69999980926514,316.69999980926514,0.9713690786048933,0.668359375,71,,,intermediate,4,,,,,,,,,,,,,,
29967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,67, once ,770,338,1208868.700000286,323.265625,745.4375,343.265625,789.484375,6,2,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
30016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,67, once ,781,337,1208917.9000000954,323.265625,745.4375,343.265625,789.484375,6,2,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
30050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,9,4,11,12,67, once ,752,339,,313.265625,745.4375,353.265625,789.484375,6,2,hover,116.7000002861023,116.7000002861023,0.9663001064207166,0.568359375,71,,,intermediate,4,,,,,,,,,,,,,,
30058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,68, it ,791,336,1208959.200000286,323.265625,789.484375,343.265625,803.5,6,3,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
30107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,68, it ,795,336,1209008.4000000954,323.265625,789.484375,343.265625,803.5,6,3,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
30150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,9,4,11,12,68, it ,791,336,,313.265625,789.484375,353.265625,803.5,6,3,hover,100,100,0.750278706800446,0.568359375,71,,,intermediate,4,,,,,,,,,,,,,,
30167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,69, has ,810,336,1209068.5,323.265625,803.5,343.265625,837.53125,6,4,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
30217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,69, has ,832,337,1209119,323.265625,803.5,343.265625,837.53125,6,4,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
30233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,9,4,11,12,69, has ,804,336,,313.265625,803.5,353.265625,837.53125,6,4,hover,83.2999997138977,83.2999997138977,0.837465564738292,0.593359375,71,,,intermediate,4,,,,,,,,,,,,,,
30267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,70, been ,848,338,1209168.8000001907,323.265625,837.53125,343.265625,882.578125,6,5,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
30318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,70, been ,855,338,1209219.4000000954,323.265625,837.53125,343.265625,882.578125,6,5,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
30354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,70, been ,857,338,1209255.5,323.265625,837.53125,343.265625,882.578125,6,5,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
30403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,70, been ,865,338,1209305,323.265625,837.53125,343.265625,882.578125,6,5,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
30466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,70, been ,882,338,1209367.9000000954,323.265625,837.53125,343.265625,882.578125,6,5,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
30467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,9,4,11,12,70, been ,840,337,,313.265625,837.53125,353.265625,882.578125,6,5,hover,233.5,233.5,0.9871661463753035,0.618359375,71,,,intermediate,4,,,,,,,,,,,,,,
30517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,71, refined. ,909,338,1209418.700000286,323.265625,882.578125,343.265625,942.625,6,6,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
30566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,71, refined. ,922,337,1209468,323.265625,882.578125,343.265625,942.625,6,6,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
30617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,71, refined. ,937,331,1209519,323.265625,882.578125,343.265625,942.625,6,6,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
30666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,9,4,11,12,71, refined. ,888,338,,313.265625,882.578125,353.265625,946.528125,6,6,hover,199.7000002861023,199.7000002861023,0.9604671618451909,0.318359375,71,,,intermediate,4,,,,,,,,,,,,,,
30667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,-1,999,947,322,1209568.4000000954,,,,,,,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
30717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,60, licensing ,955,306,1209619,283.265625,920.5625,303.265625,995.609375,5,8,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
30766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,60, licensing ,957,294,1209667.3000001907,283.265625,920.5625,303.265625,995.609375,5,8,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
30803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,60, licensing ,958,282,1209704.6000003815,283.265625,920.5625,303.265625,995.609375,5,8,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
30850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,9,4,11,12,60, licensing ,953,312,,273.265625,920.5625,313.265625,995.609375,5,8,hover,150.09999990463257,150.09999990463257,0.5121798875702686,0.068359375,71,,,intermediate,4,,,,,,,,,,,,,,
30854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,46, has ,960,273,1209755.9000000954,243.265625,945.25,263.265625,979.28125,4,8,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
30916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,46, has ,965,264,1209818,243.265625,945.25,263.265625,979.28125,4,8,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
30966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,46, has ,978,255,1209867.8000001907,243.265625,945.25,263.265625,979.28125,4,8,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
30967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,9,4,11,12,46, has ,960,273,,233.265625,945.25,273.265625,979.28125,4,8,hover,116.69999980926514,116.69999980926514,0.9623507805325987,0.543359375,71,,,intermediate,4,,,,,,,,,,,,,,
31003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,47, more ,998,248,1209904.1000003815,243.265625,979.28125,263.265625,1025.296875,4,9,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
31066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,47, more ,1024,242,1209967.9000000954,243.265625,979.28125,263.265625,1025.296875,4,9,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
31067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,9,4,11,12,47, more ,983,252,,233.265625,979.28125,273.265625,1025.296875,4,9,hover,100.10000038146973,100.10000038146973,0.9718166383701189,0.218359375,71,,,intermediate,4,,,,,,,,,,,,,,
31117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,48, than ,1054,238,1210018.700000286,243.265625,1025.296875,263.265625,1065.34375,4,10,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
31157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,48, than ,1062,237,1210059.1000003815,243.265625,1025.296875,263.265625,1065.34375,4,10,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
31206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,48, than ,1065,236,1210107.6000003815,243.265625,1025.296875,263.265625,1065.34375,4,10,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
31217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,9,4,11,12,48, than ,1033,241,,233.265625,1025.296875,273.265625,1065.34375,4,10,hover,149.69999980926514,149.69999980926514,0.9914163090128756,0.068359375,71,,,intermediate,4,,,,,,,,,,,,,,
31262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,49," 170,000 ",1068,235,1210163.4000000954,243.265625,1065.34375,263.265625,1135.421875,4,11,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
31316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,49," 170,000 ",1071,234,1210217.9000000954,243.265625,1065.34375,263.265625,1135.421875,4,11,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
31317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,9,4,11,12,49," 170,000 ",1066,236,,233.265625,1065.34375,273.265625,1135.421875,4,11,hover,100.30000019073486,100.30000019073486,0.08071348940914158,0.018359375,71,,,intermediate,4,,,,,,,,,,,,,,
31366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,34, high-detail ,1076,231,1210267.8000001907,203.265625,1016.65625,223.265625,1104.71875,3,10,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
31416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,34, high-detail ,1088,223,1210317.9000000954,203.265625,1016.65625,223.265625,1104.71875,3,10,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
31450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,9,4,11,12,34, high-detail ,1073,233,,193.265625,1016.65625,233.265625,1104.71875,3,10,hover,133.19999980926514,133.19999980926514,0.946415897799858,0.593359375,71,,,intermediate,4,,,,,,,,,,,,,,
31466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,35, maps ,1106,214,1210367.9000000954,203.265625,1104.71875,223.265625,1153.75,3,11,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
31516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,35, maps ,1128,208,1210417.8000001907,203.265625,1104.71875,223.265625,1153.75,3,11,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
31567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,35, maps ,1139,206,1210468.9000000954,203.265625,1104.71875,223.265625,1153.75,3,11,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
31614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,35, maps ,1139,206,1210515.8000001907,203.265625,1104.71875,223.265625,1153.75,3,11,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
31666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,35, maps ,1139,206,1210568.1000003815,203.265625,1104.71875,223.265625,1153.75,3,11,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
31716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,35, maps ,1140,206,1210618,203.265625,1104.71875,223.265625,1153.75,3,11,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
31750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,9,4,11,12,35, maps ,1106,214,,193.265625,1104.71875,233.265625,1153.75,3,11,hover,300,300,0.882727852135118,0.318359375,71,,,intermediate,4,,,,,,,,,,,,,,
31766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,36, of ,1157,206,1210667.8000001907,203.265625,1153.75,223.265625,1173.765625,3,12,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
31783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,9,4,11,12,36, of ,1157,206,,193.265625,1153.75,233.265625,1173.765625,3,12,hover,33.30000019073486,33.30000019073486,0.8618266978922716,0.318359375,71,,,intermediate,4,,,,,,,,,,,,,,
31817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,37, about ,1215,206,1210718.9000000954,203.265625,1173.765625,223.265625,1223.8125,3,13,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
31850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,9,4,11,12,37, about ,1186,206,,193.265625,1173.765625,233.265625,1223.8125,3,13,hover,66.59999990463257,66.59999990463257,0.9837652201061505,0.318359375,71,,,intermediate,4,,,,,,,,,,,,,,
31862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,38," 2,000 ",1225,206,1210763.3000001907,203.265625,1223.8125,223.265625,1268.859375,3,14,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
31913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,38," 2,000 ",1226,206,1210814.8000001907,203.265625,1223.8125,223.265625,1268.859375,3,14,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
31966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,38," 2,000 ",1226,206,1210868,203.265625,1223.8125,223.265625,1268.859375,3,14,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
32016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,38," 2,000 ",1226,206,1210917.6000003815,203.265625,1223.8125,223.265625,1268.859375,3,14,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
32066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,38," 2,000 ",1226,206,1210968,203.265625,1223.8125,223.265625,1268.859375,3,14,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
32083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,9,4,11,12,38," 2,000 ",1225,206,,193.265625,1223.8125,233.265625,1268.859375,3,14,hover,233.40000009536743,233.40000009536743,0.026361429066944154,0.318359375,71,,,intermediate,4,,,,,,,,,,,,,,
32117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,9,4,11,12,37, about ,1217,210,,193.265625,1173.765625,233.265625,1223.8125,3,13,hover,33.299999713897705,33.299999713897705,0.46425226350296595,0.743359375,71,,,intermediate,4,,,,,,,,,,,,,,
32117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,50, miles ,1160,246,1211019,243.265625,1135.421875,263.265625,1182.4375,4,12,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
32133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,9,4,11,12,50, miles ,1160,246,,233.265625,1135.421875,273.265625,1182.4375,4,12,hover,16.700000286102295,16.700000286102295,0.5227650382186773,0.318359375,71,,,intermediate,4,,,,,,,,,,,,,,
32167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,9,4,11,12,62, technology ,1115,276,,273.265625,1025.640625,313.265625,1117.71875,5,10,hover,33.19999980926514,33.19999980926514,0.47089767520787373,0.793359375,71,,,intermediate,4,,,,,,,,,,,,,,
32167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,-1,999,1020,333,1211068.6000003815,,,,,,,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
32216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,-1,999,954,370,1211117.700000286,,,,,,,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
32264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,-1,999,954,370,1211165.5,,,,,,,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
32304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,-1,999,954,370,1211205.700000286,,,,,,,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
32366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,-1,999,954,370,1211267.9000000954,,,,,,,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
32403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,9,4,11,12,-1,999,954,370,1211304.8000001907,,,,,,,,,,,,,,,intermediate,4,,,,,,,,,,,,,,
