responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,SONAId,SonaId,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_SONAId,glb_SubjectId,glb_SubjectID,glb_SonaId,glb_study_key
3968,raw_position_sample,2,3,adv,15,3,36,37,14," that, ",964,114,1220646.5999999046,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.375,957.4296875,122.875,997.4609375,1,14,,,,,,,,,,,
4018,raw_position_sample,2,3,adv,15,3,36,37,14," that, ",976,112,1220696.700000286,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.375,957.4296875,122.875,997.4609375,1,14,,,,,,,,,,,
4070,raw_position_sample,2,3,adv,15,3,36,37,14," that, ",983,112,1220748.200000286,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.375,957.4296875,122.875,997.4609375,1,14,,,,,,,,,,,
4117,raw_position_sample,2,3,adv,15,3,36,37,14," that, ",983,112,1220795.5999999046,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.375,957.4296875,122.875,997.4609375,1,14,,,,,,,,,,,
4168,raw_position_sample,2,3,adv,15,3,36,37,14," that, ",961,112,1220846.700000286,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.375,957.4296875,122.875,997.4609375,1,14,,,,,,,,,,,
4168,hover_association,2,3,adv,15,3,36,37,14," that, ",958,114,,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,233.69999980926514,233.69999980926514,0.08918813427010149,0.484375,138,92.625,957.4296875,132.625,997.4609375,1,14,,,,,,,,,,,
4202,hover_association,2,3,adv,15,3,36,37,12, the ,870,108,,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,16.59999990463257,16.59999990463257,0.8534998698933125,0.384375,138,92.625,844.375,132.625,874.3984375,1,12,,,,,,,,,,,
4218,raw_position_sample,2,3,adv,15,3,36,37,-1,999,870,108,1220896.4000000954,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4219,hover_association,2,3,adv,15,3,36,37,8, brain ,700,98,,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,1.1000003814697266,1.1000003814697266,0.3278972935461485,0.134375,138,92.625,685.234375,132.625,730.265625,1,8,,,,,,,,,,,
4236,hover_association,2,3,adv,15,3,36,37,6, affects ,620,98,,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,1,1,0.3898741031541898,0.134375,138,92.625,597.5,132.625,655.2109375,1,6,,,,,,,,,,,
