responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,SubjectId,SubjectID,SonaId,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,onestop_block_level,onestop_paragraph_index,SONAId,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,sampleTimeMs,response,response_correct,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_SONAId,glb_SubjectId,glb_SubjectID,glb_SonaId,glb_study_key
14820,hover_association,2,2,int,7,4,15,16,78," website, ",439,306,hover,66.7000002861023,66.7000002861023,0.06433520290333224,0.534375,103,33916,33916,33916,292.625,411.4296875,332.625,482.46875,6,2,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14851,raw_position_sample,2,2,int,7,4,15,16,77, popular ,407,317,,,,,,,33916,33916,33916,302.375,346.375,322.875,411.4296875,6,1,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740196.0999999046,,,,,,,,,,,
14901,raw_position_sample,2,2,int,7,4,15,16,77, popular ,400,318,,,,,,,33916,33916,33916,302.375,346.375,322.875,411.4296875,6,1,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740246.5999999046,,,,,,,,,,,
14936,hover_association,2,2,int,7,4,15,16,77, popular ,411,316,hover,116.69999980926514,116.69999980926514,0.7013330130899483,0.684375,103,33916,33916,33916,292.625,346.375,332.625,411.4296875,6,1,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14951,raw_position_sample,2,2,int,7,4,15,16,-1,999,392,320,,,,,,,33916,33916,33916,,,,,,,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740296.4000000954,,,,,,,,,,,
14954,hover_association,2,2,int,7,4,15,16,77, popular ,382,322,hover,0.7999997138977051,0.7999997138977051,0.5476161883031103,0.734375,103,33916,33916,33916,292.625,346.375,332.625,411.4296875,6,1,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14970,hover_association,2,2,int,7,4,15,16,77, popular ,377,322,hover,0.9000000953674316,0.9000000953674316,0.47075777590969137,0.734375,103,33916,33916,33916,292.625,346.375,332.625,411.4296875,6,1,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14987,hover_association,2,2,int,7,4,15,16,77, popular ,373,322,hover,0.8000001907348633,0.8000001907348633,0.4092710459949562,0.734375,103,33916,33916,33916,292.625,346.375,332.625,411.4296875,6,1,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15001,raw_position_sample,2,2,int,7,4,15,16,-1,999,373,322,,,,,,,33916,33916,33916,,,,,,,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740347,,,,,,,,,,,
15003,hover_association,2,2,int,7,4,15,16,77, popular ,371,322,hover,0.7999997138977051,0.7999997138977051,0.37852768103758855,0.734375,103,33916,33916,33916,292.625,346.375,332.625,411.4296875,6,1,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15051,raw_position_sample,2,2,int,7,4,15,16,77, popular ,366,320,,,,,,,33916,33916,33916,302.375,346.375,322.875,411.4296875,6,1,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740397,,,,,,,,,,,
15101,raw_position_sample,2,2,int,7,4,15,16,77, popular ,365,317,,,,,,,33916,33916,33916,302.375,346.375,322.875,411.4296875,6,1,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740447.0999999046,,,,,,,,,,,
15151,raw_position_sample,2,2,int,7,4,15,16,77, popular ,366,315,,,,,,,33916,33916,33916,302.375,346.375,322.875,411.4296875,6,1,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740496.9000000954,,,,,,,,,,,
15202,raw_position_sample,2,2,int,7,4,15,16,77, popular ,375,314,,,,,,,33916,33916,33916,302.375,346.375,322.875,411.4296875,6,1,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740547.3000001907,,,,,,,,,,,
15251,raw_position_sample,2,2,int,7,4,15,16,77, popular ,386,314,,,,,,,33916,33916,33916,302.375,346.375,322.875,411.4296875,6,1,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740596.8000001907,,,,,,,,,,,
15301,raw_position_sample,2,2,int,7,4,15,16,77, popular ,398,314,,,,,,,33916,33916,33916,302.375,346.375,322.875,411.4296875,6,1,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740646.5999999046,,,,,,,,,,,
15336,hover_association,2,2,int,7,4,15,16,77, popular ,367,320,hover,316.69999980926514,316.69999980926514,0.9780232977062567,0.559375,103,33916,33916,33916,292.625,346.375,332.625,411.4296875,6,1,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
