responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,SONAId,SonaId,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_SONAId,glb_SubjectId,glb_SubjectID,glb_SonaId,glb_study_key
2078,raw_position_sample,2,2,int,,,900,1,2, coastal ,413,122,330546.40000009537,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,382.3984375,130.875,444.4375,1,2,,,,,,,,,,,
2128,raw_position_sample,2,2,int,,,900,1,2, coastal ,416,122,330596.59999990463,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,382.3984375,130.875,444.4375,1,2,,,,,,,,,,,
2178,raw_position_sample,2,2,int,,,900,1,2, coastal ,416,122,330646.09999990463,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,382.3984375,130.875,444.4375,1,2,,,,,,,,,,,
2228,raw_position_sample,2,2,int,,,900,1,2, coastal ,416,122,330696.59999990463,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,382.3984375,130.875,444.4375,1,2,,,,,,,,,,,
2279,raw_position_sample,2,2,int,,,900,1,2, coastal ,416,122,330746.90000009537,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,382.3984375,130.875,444.4375,1,2,,,,,,,,,,,
2329,raw_position_sample,2,2,int,,,900,1,2, coastal ,416,122,330797.5,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,382.3984375,130.875,444.4375,1,2,,,,,,,,,,,
2378,raw_position_sample,2,2,int,,,900,1,2, coastal ,416,122,330846.5,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,382.3984375,130.875,444.4375,1,2,,,,,,,,,,,
2429,raw_position_sample,2,2,int,,,900,1,2, coastal ,416,122,330896.90000009537,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,382.3984375,130.875,444.4375,1,2,,,,,,,,,,,
2478,raw_position_sample,2,2,int,,,900,1,2, coastal ,416,122,330946.80000019073,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,382.3984375,130.875,444.4375,1,2,,,,,,,,,,,
2529,raw_position_sample,2,2,int,,,900,1,2, coastal ,416,122,330997.40000009537,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,382.3984375,130.875,444.4375,1,2,,,,,,,,,,,
2579,raw_position_sample,2,2,int,,,900,1,2, coastal ,407,122,331047.30000019073,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,382.3984375,130.875,444.4375,1,2,,,,,,,,,,,
2617,hover_association,2,2,int,,,900,1,2, coastal ,386,129,,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,683.5999999046326,683.5999999046326,0.20312303236368215,0.534375,19,100.625,382.3984375,140.625,444.4375,1,2,,,,,,,,,,,
2629,raw_position_sample,2,2,int,,,900,1,1, The ,376,122,331097.2000002861,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,346.375,130.875,382.3984375,1,1,,,,,,,,,,,
2678,raw_position_sample,2,2,int,,,900,1,1, The ,355,122,331146.09999990463,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,346.375,130.875,382.3984375,1,1,,,,,,,,,,,
2728,raw_position_sample,2,2,int,,,900,1,1, The ,351,122,331196.59999990463,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,346.375,130.875,382.3984375,1,1,,,,,,,,,,,
2779,raw_position_sample,2,2,int,,,900,1,1, The ,351,122,331247.2000002861,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,346.375,130.875,382.3984375,1,1,,,,,,,,,,,
2828,raw_position_sample,2,2,int,,,900,1,1, The ,351,122,331296.5,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,346.375,130.875,382.3984375,1,1,,,,,,,,,,,
2878,raw_position_sample,2,2,int,,,900,1,1, The ,351,122,331346.90000009537,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,346.375,130.875,382.3984375,1,1,,,,,,,,,,,
2929,raw_position_sample,2,2,int,,,900,1,1, The ,351,122,331396.90000009537,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,346.375,130.875,382.3984375,1,1,,,,,,,,,,,
2979,raw_position_sample,2,2,int,,,900,1,1, The ,352,122,331447.2000002861,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,346.375,130.875,382.3984375,1,1,,,,,,,,,,,
3028,raw_position_sample,2,2,int,,,900,1,1, The ,357,123,331496.80000019073,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.375,346.375,130.875,382.3984375,1,1,,,,,,,,,,,
