responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,SubjectId,SubjectID,ProlificId,ProlificID,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,sampleTimeMs,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key
1633,raw_position_sample,2,2,int,,,900,1,1, The ,410,127,,,,,,,,,,,112.4625015258789,382.6125183105469,132.4625015258789,418.6375198364258,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87596.5,,,,,,,,,,,,,,
1691,raw_position_sample,2,2,int,,,900,1,1, The ,410,126,,,,,,,,,,,112.4625015258789,382.6125183105469,132.4625015258789,418.6375198364258,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87654.30000001192,,,,,,,,,,,,,,
1731,raw_position_sample,2,2,int,,,900,1,1, The ,410,126,,,,,,,,,,,112.4625015258789,382.6125183105469,132.4625015258789,418.6375198364258,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87694,,,,,,,,,,,,,,
1794,raw_position_sample,2,2,int,,,900,1,1, The ,410,126,,,,,,,,,,,112.4625015258789,382.6125183105469,132.4625015258789,418.6375198364258,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87758,,,,,,,,,,,,,,
1835,raw_position_sample,2,2,int,,,900,1,1, The ,410,126,,,,,,,,,,,112.4625015258789,382.6125183105469,132.4625015258789,418.6375198364258,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87798.60000002384,,,,,,,,,,,,,,
1892,raw_position_sample,2,2,int,,,900,1,1, The ,410,126,,,,,,,,,,,112.4625015258789,382.6125183105469,132.4625015258789,418.6375198364258,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87855.19999998808,,,,,,,,,,,,,,
1931,raw_position_sample,2,2,int,,,900,1,1, The ,410,126,,,,,,,,,,,112.4625015258789,382.6125183105469,132.4625015258789,418.6375198364258,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87894.30000001192,,,,,,,,,,,,,,
1980,raw_position_sample,2,2,int,,,900,1,1, The ,410,126,,,,,,,,,,,112.4625015258789,382.6125183105469,132.4625015258789,418.6375198364258,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87943.19999998808,,,,,,,,,,,,,,
2042,raw_position_sample,2,2,int,,,900,1,1, The ,408,126,,,,,,,,,,,112.4625015258789,382.6125183105469,132.4625015258789,418.6375198364258,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88005.80000001192,,,,,,,,,,,,,,
2082,raw_position_sample,2,2,int,,,900,1,1, The ,408,126,,,,,,,,,,,112.4625015258789,382.6125183105469,132.4625015258789,418.6375198364258,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88045.80000001192,,,,,,,,,,,,,,
2130,raw_position_sample,2,2,int,,,900,1,1, The ,408,126,,,,,,,,,,,112.4625015258789,382.6125183105469,132.4625015258789,418.6375198364258,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88093.19999998808,,,,,,,,,,,,,,
2193,raw_position_sample,2,2,int,,,900,1,1, The ,408,126,,,,,,,,,,,112.4625015258789,382.6125183105469,132.4625015258789,418.6375198364258,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88156.30000001192,,,,,,,,,,,,,,
2233,raw_position_sample,2,2,int,,,900,1,1, The ,408,126,,,,,,,,,,,112.4625015258789,382.6125183105469,132.4625015258789,418.6375198364258,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88196.10000002384,,,,,,,,,,,,,,
2280,raw_position_sample,2,2,int,,,900,1,1, The ,408,126,,,,,,,,,,,112.4625015258789,382.6125183105469,132.4625015258789,418.6375198364258,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88243.69999998808,,,,,,,,,,,,,,
2344,raw_position_sample,2,2,int,,,900,1,1, The ,408,126,,,,,,,,,,,112.4625015258789,382.6125183105469,132.4625015258789,418.6375198364258,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88308,,,,,,,,,,,,,,
2393,raw_position_sample,2,2,int,,,900,1,1, The ,408,126,,,,,,,,,,,112.4625015258789,382.6125183105469,132.4625015258789,418.6375198364258,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88356.39999997616,,,,,,,,,,,,,,
2433,raw_position_sample,2,2,int,,,900,1,1, The ,408,126,,,,,,,,,,,112.4625015258789,382.6125183105469,132.4625015258789,418.6375198364258,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88396.30000001192,,,,,,,,,,,,,,
2481,raw_position_sample,2,2,int,,,900,1,1, The ,408,126,,,,,,,,,,,112.4625015258789,382.6125183105469,132.4625015258789,418.6375198364258,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88444.80000001192,,,,,,,,,,,,,,
2545,raw_position_sample,2,2,int,,,900,1,1, The ,408,126,,,,,,,,,,,112.4625015258789,382.6125183105469,132.4625015258789,418.6375198364258,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88508.69999998808,,,,,,,,,,,,,,
2592,raw_position_sample,2,2,int,,,900,1,1, The ,408,126,,,,,,,,,,,112.4625015258789,382.6125183105469,132.4625015258789,418.6375198364258,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88555.5,,,,,,,,,,,,,,
2632,hover_association,2,2,int,,,900,1,1, The ,414,127,hover,1083.199999988079,1083.199999988079,0.731562258654384,0.6884374259114406,19,,,,,102.46249771118164,379.010018157959,142.46250534057617,418.6375160217285,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2634,raw_position_sample,2,2,int,,,900,1,-1,,408,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88597.30000001192,,,,,,,,,,,,,,
2651,hover_association,2,2,int,,,900,1,16, with ,413,151,hover,1.699999988079071,1.699999988079071,0.821006116657876,0.21343732577565655,19,,,,,142.46250534057617,382.6125183105469,182.4625129699707,419.62500953674316,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2682,raw_position_sample,2,2,int,,,900,1,16, with ,416,156,,,,,,,,,,,152.46250915527344,382.6125183105469,172.46250915527344,419.6250190734863,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88645,,,,,,,,,,,,,,
2699,hover_association,2,2,int,,,900,1,16, with ,416,156,hover,32.80000001192093,32.80000001192093,0.9831135512353516,0.4384372828603205,19,,,,,142.46250534057617,382.6125183105469,182.4625129699707,419.62500953674316,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732,hover_association,2,2,int,,,900,1,17, their ,422,163,hover,33.30000001192093,33.30000001192093,0.23422843805470683,0.5884372542500964,19,,,,,142.46250534057617,419.62500953674316,182.4625129699707,459.64999771118164,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734,raw_position_sample,2,2,int,,,900,1,-1,,429,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88697.30000001192,,,,,,,,,,,,,,
2783,raw_position_sample,2,2,int,,,900,1,-1,,467,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88746.39999997616,,,,,,,,,,,,,,
2831,raw_position_sample,2,2,int,,,900,1,-1,,467,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88794.69999998808,,,,,,,,,,,,,,
2882,raw_position_sample,2,2,int,,,900,1,-1,,467,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88846,,,,,,,,,,,,,,
2931,raw_position_sample,2,2,int,,,900,1,-1,,467,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88894.39999997616,,,,,,,,,,,,,,
2982,raw_position_sample,2,2,int,,,900,1,-1,,467,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88945.80000001192,,,,,,,,,,,,,,
3042,raw_position_sample,2,2,int,,,900,1,-1,,467,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89005.69999998808,,,,,,,,,,,,,,
3081,raw_position_sample,2,2,int,,,900,1,-1,,467,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89044.5,,,,,,,,,,,,,,
3145,raw_position_sample,2,2,int,,,900,1,-1,,467,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89108.60000002384,,,,,,,,,,,,,,
3193,raw_position_sample,2,2,int,,,900,1,-1,,467,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89156.60000002384,,,,,,,,,,,,,,
3233,raw_position_sample,2,2,int,,,900,1,-1,,467,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89197,,,,,,,,,,,,,,
3282,raw_position_sample,2,2,int,,,900,1,-1,,467,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89245.19999998808,,,,,,,,,,,,,,
3332,raw_position_sample,2,2,int,,,900,1,-1,,467,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89295.80000001192,,,,,,,,,,,,,,
3396,raw_position_sample,2,2,int,,,900,1,-1,,467,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89359.19999998808,,,,,,,,,,,,,,
3444,raw_position_sample,2,2,int,,,900,1,-1,,467,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89407.19999998808,,,,,,,,,,,,,,
3492,raw_position_sample,2,2,int,,,900,1,-1,,467,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89455.39999997616,,,,,,,,,,,,,,
3532,raw_position_sample,2,2,int,,,900,1,-1,,467,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89495.39999997616,,,,,,,,,,,,,,
3566,hover_association,2,2,int,,,900,1,17, their ,421,157,hover,16.899999976158142,16.899999976158142,0.034353300924519915,0.3634372971654325,19,,,,,142.46250534057617,419.62500953674316,182.4625129699707,459.64999771118164,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3583,hover_association,2,2,int,,,900,1,1, The ,406,132,hover,1.2000000476837158,1.2000000476837158,0.681092254041033,0.7384374163746993,19,,,,,102.46249771118164,379.010018157959,142.46250534057617,418.6375160217285,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
